objectid,filename,title,creator,date,description,nearbycity,county,latitude,longitude,format,rights,rightsstatement,time,hikingtrail,weather,geographicalfeatures,terrain,fauna
img_01,img01.jpg,Whitby Abbey,"Edler, Abigayle",2021-10,Whitby Abbey from the street on a cloudy day with a wooden trail sign in the foreground that points towards the Cleveland Way trail and Robin Hoods Bay.,Whitby,North Yorkshire,54.489110,-0.607534,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,12:27,Cleveland Way,Clouds,Whitby Abbey,Streets; Grasses,
img_02,img02.jpg,Riverside Walk,"Edler, Abigayle",2022-01,"A shallow, rock-filled river banked by grassy hills on a bright but cloudy day with bare tree branches reaching over the river.",Aysgarth,North Yorkshire,54.306353,-1.920464,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,11:50,Pennine Way,Clouds; Sun,Hills; Rivers; Farms,Grasses,
img_03,img03.jpg,Farmland Hill,"Edler, Abigayle",2022-01,A hill with a dirt road etched into the grass on a sunny day. There are tall trees and a low stone wall ahead.,Aysgarth,North Yorkshire,54.304781,-1.935692,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,12:24,Pennine Way,Clouds; Sun,Hills; Stone walls; Farms,Grasses; Dirt roads,
img_04,img04.jpg,Autumn Lake,"Edler, Abigayle",2022-02,"Sheep grazing on a grass hillside next to a tree-rimmed lake on a rainy, gray day.",Bamford,Derbyshire,53.392814,-1.721187,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,11:24,Pennine Way,Rain,Lakes & ponds; Hills; Forests; Farms,Grasses,Sheep
img_05,img05.jpg,A Vibrant Landscape,"Edler, Abigayle",2022-02,"A low stone wall in front of rolling hills and a distant lake on a gray, rainy day.",Bamford,Derbyshire,53.389248,-1.701718,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,12:16,Pennine Way,Rain,Hills; Stone walls; Lakes & ponds; Farms,Grasses,
img_06,img06.jpg,A Glass Sea,"Edler, Abigayle",2022-03,The beach looking out towards the horizon on a gray day as a thin layer of still water covers the sand.,Scarborough,North Yorkshire,54.277469,-0.396453,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,12:07,Cleveland Way,Clouds,Seas; Beaches,Sand,
img_07,img07.jpg,Tide Pools,"Edler, Abigayle",2022-05,A shoreline at low tide on a cloudy day with wet sand and algae covered rocks in the foreground.,Alnmouth,Northumberland,55.360813,-1.600344,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,11:38,King Charles III England Coast Path,Clouds,Lakes & ponds; Beaches; Tide pools,Sand,
img_08,img08.jpg,Grasslands,"Edler, Abigayle",2022-10,A bright sunny day on a grass hillside looking over a low stone wall towards a distant peak.,Kirkby Stephen,Westmorland and Furness,54.431049,-2.364325,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,13:22,Pennine Way,Clouds; Sun,Hills; Mountains; Stone walls; Farms,Grasses,
img_09,img09.jpg,Distant Peaks,"Edler, Abigayle",2022-10,A gravel road cut into the grass on a hillside with peaks in the distance.,Kirkby Stephen,Westmorland and Furness,54.383986,-2.329657,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,14:08,Pennine Way,Clouds; Sun,Hills; Mountains,Grasses; Dirt roads; Gravel,
img_10,img10.jpg,The Jagged Shoreline,"Edler, Abigayle",2023-04,"Gray sky framing a wet, sandy beach with a rocky cliff shoreline.",Holy Island,Northumberland,55.668433,-1.802979,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,14:58,King Charles III England Coast Path,Clouds,Beaches; Cliffs,Sand,
img_11,img11.jpg,A Country Lane,"Edler, Abigayle",2023-04,"A dirt road cut from a bright green, grass lane with colorful hedges on either side looking out towards a large tree and a cloudy sky.",Berry Brow,Kirklees,53.620037,-1.783506,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,14:00,Pennine Way,Clouds,Hedges (Plants),Grasses; Dirt roads,
img_12,img12.jpg,Seaside Cliffs,"Edler, Abigayle",2023-06,A grass covered and wildflower dotted cliffside that drops off into a calm blue sea and a sunny sky.,Filey,North Yorkshire,54.219046,-0.276720,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,15:43,Cleveland Way,Sun,Seas; Cliffs,Grasses,
img_13,img13.jpg,Sheep Grazing,"Edler, Abigayle",2025-10,Sheep grazing on a grass hillside surrounded by gray sky and tall trees.,Rothbury,Northumberland,55.312355,-1.891649,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,14:09,Pennine Way,Clouds,Hills; Forests; Farms,Grasses,Sheep
img_14,img14.jpg,An Autumn Road,"Edler, Abigayle",2025-10,"A road next a small lake, grass hills, tall trees, and low stone houses in the distance.",Rothbury,Northumberland,55.316535,-1.891105,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,14:41,Pennine Way,Clouds,Lakes & ponds; Hills; Forests; Farms,Streets,
img_15,img15.jpg,At Low Tide,"Edler, Abigayle",2025-10,"A grass shelf dropping off into the sea at low tide with rocks, sand, tide pools, and a gray-blue sea.",Seahouses,Northumberland,55.581248,-1.646041,image/jpeg,"Creative Commons licensing enables users to distribute, remix, adapt and bulid upon this material in any medium or format for noncommercial purposes only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,12:42,King Charles III England Coast Path,Clouds,Seas; Cliffs; Beaches; Tide pools,Grasses; Sand; Gravel,